dist,E
3.4,-1053.601600520258
3.6,-1053.602062275656
4.8,-1053.60208220472
4.0,-1053.60225671947
3.8,-1053.602233548173
5.0,-1053.602052597776
3.0,-1053.597656386264
4.2,-1053.602223040541
4.4,-1053.602163063034
4.6,-1053.60211895611
3.2,-1053.60041476383
2.8,-1053.591714527565
