dist1,dist2,dist3,E
4.4,4.4,4.8,-1580.403480350821
4.0,2.8,3.2,-1580.391155317627
3.6,2.8,3.6,-1580.392682338239
4.0,4.0,4.4,-1580.403690707188
3.2,2.8,3.2,-1580.389515656198
4.8,4.8,4.8,-1580.403323823623
4.4,3.6,4.4,-1580.403404711458
3.6,4.0,3.6,-1580.40333520877
2.8,4.0,4.8,-1580.393034682713
2.8,4.8,3.6,-1580.392714769102
3.2,3.6,4.8,-1580.40153695888
4.4,4.8,4.4,-1580.403479235207
4.0,3.6,2.8,-1580.392837995514
4.4,2.8,4.4,-1580.39289288482
3.6,4.8,4.8,-1580.403294063704
3.6,2.8,4.0,-1580.392847661618
3.2,4.8,3.6,-1580.4015761295
2.8,2.8,4.0,-1580.382386103412
4.4,3.2,2.8,-1580.391061953045
3.6,3.6,3.6,-1580.403133141567
3.6,4.4,3.2,-1580.401546151094
2.8,4.0,4.4,-1580.392979918754
2.8,3.2,2.8,-1580.381035373212
4.8,4.8,4.0,-1580.403488403269
4.4,4.4,3.6,-1580.4034126541
2.8,3.6,4.0,-1580.392845637607
4.0,3.6,3.2,-1580.401624802297
3.6,4.4,4.0,-1580.403473758252
3.6,3.2,4.0,-1580.401641905753
3.2,2.8,4.8,-1580.391194410792
4.0,3.6,4.0,-1580.403551573602
4.8,3.2,2.8,-1580.391158689216
3.6,3.2,3.6,-1580.401438687174
4.0,4.0,3.2,-1580.401826056504
3.6,4.4,2.8,-1580.392762280083
4.8,4.4,4.0,-1580.403577270677
4.0,4.4,2.8,-1580.392963767708
3.2,2.8,2.8,-1580.381035011727
4.8,2.8,3.2,-1580.39117757098
2.8,2.8,4.8,-1580.382348603376
4.0,2.8,4.4,-1580.392974806146
4.4,3.2,4.8,-1580.40169974119
2.8,4.4,2.8,-1580.382255110731
4.4,4.4,2.8,-1580.392898209598
3.2,2.8,3.6,-1580.391031241149
3.6,3.2,4.4,-1580.401547896622
